raca,sexo,idade_meses,peso_kg,altura_cm,escore_corporal,ganho_diario_kg,temperatura_corporal,circunferencia_toracica_cm,situacao
nelore,macho,26,463,138.6,5.3,0.46,39.0,167.9,abaixo_peso
nelore,femea,24,461,139.0,6.7,0.82,38.8,166.3,saudavel
nelore,macho,28,534,148.4,7.4,0.84,39.1,166.2,saudavel
nelore,femea,19,394,126.0,6.9,1.08,38.5,149.5,saudavel
nelore,macho,17,357,129.4,7.9,0.97,38.5,148.2,saudavel
nelore,femea,32,603,149.0,7.6,1.05,38.3,177.0,saudavel
nelore,macho,8,325,110.5,8.6,1.24,38.5,125.5,excelente
nelore,femea,12,324,117.5,8.3,1.02,38.2,140.1,saudavel
nelore,macho,11,282,115.3,8.4,1.02,39.0,139.7,saudavel
nelore,femea,30,498,145.5,4.5,0.32,39.3,177.1,risco_nutricional
nelore,macho,28,561,146.5,7.4,1.14,38.2,165.8,saudavel
nelore,femea,29,551,147.9,7.9,0.91,38.5,181.8,saudavel
nelore,macho,10,255,110.2,7.9,1.13,38.2,134.9,saudavel
nelore,femea,25,401,138.0,4.1,0.34,38.8,172.1,risco_nutricional
nelore,macho,27,548,145.7,8.2,1.08,38.5,166.1,saudavel
nelore,femea,11,281,114.9,8.3,1.08,38.1,136.2,saudavel
nelore,macho,32,618,149.9,6.9,0.89,39.3,187.2,saudavel
nelore,femea,35,555,156.9,3.9,0.23,39.4,191.9,risco_nutricional
nelore,macho,13,209,118.3,4.8,0.23,38.1,142.8,risco_nutricional
nelore,femea,30,510,149.2,6.3,0.47,38.8,183.4,abaixo_peso
nelore,macho,35,669,162.0,6.9,0.86,38.9,186.0,saudavel
nelore,femea,22,445,135.3,6.9,0.87,38.3,153.9,saudavel
nelore,macho,8,223,112.3,6.9,1.15,38.1,123.4,saudavel
nelore,femea,27,539,144.2,6.8,1.17,38.7,174.0,saudavel
nelore,macho,31,571,150.2,6.7,0.92,38.7,181.9,saudavel
nelore,femea,27,546,142.3,6.7,0.9,39.2,165.4,saudavel
nelore,macho,12,288,114.6,7.3,0.84,39.3,135.5,saudavel
nelore,femea,33,651,157.1,8.6,1.6,39.4,189.4,excelente
nelore,macho,33,559,153.6,5.7,0.49,38.1,180.7,abaixo_peso
nelore,femea,18,331,129.2,5.4,0.68,39.1,152.2,abaixo_peso
nelore,macho,21,387,134.7,5.3,0.42,38.1,153.2,abaixo_peso
nelore,femea,7,237,104.1,8.2,0.97,38.7,131.0,saudavel
nelore,macho,8,263,112.9,8.1,0.9,38.8,128.9,saudavel
nelore,femea,7,231,106.1,7.7,0.98,38.4,128.1,saudavel
nelore,macho,16,305,123.5,5.2,0.66,39.3,152.2,abaixo_peso
nelore,femea,6,226,103.5,8.4,0.74,38.4,130.1,saudavel
nelore,macho,34,545,158.9,3.7,0.25,39.0,186.6,risco_nutricional
nelore,femea,31,565,154.3,7.8,0.98,38.1,184.3,saudavel
nelore,macho,14,294,118.5,6.0,0.46,38.3,138.3,abaixo_peso
nelore,femea,27,521,146.9,7.5,0.83,38.1,171.5,saudavel
nelore,macho,32,570,156.4,5.5,0.45,38.2,179.5,abaixo_peso
nelore,femea,28,520,146.9,6.7,1.17,38.2,164.2,saudavel
nelore,macho,17,364,124.5,7.3,0.72,39.3,155.0,saudavel
nelore,femea,7,268,106.4,9.2,1.43,38.8,131.4,excelente
nelore,macho,25,584,143.8,9.4,1.53,39.1,171.1,excelente
nelore,femea,6,159,107.2,6.1,0.56,39.0,119.2,abaixo_peso
nelore,macho,11,321,114.6,8.9,1.12,38.3,140.9,excelente
nelore,femea,17,369,124.8,6.9,1.03,38.4,140.5,saudavel
nelore,macho,30,508,149.3,5.6,0.79,39.3,169.8,abaixo_peso
nelore,femea,14,284,119.0,5.1,0.64,39.1,139.8,abaixo_peso
nelore,macho,22,384,134.1,5.3,0.42,38.7,163.3,abaixo_peso
nelore,femea,27,547,147.2,6.9,0.92,39.3,171.4,saudavel
nelore,macho,27,601,144.9,9.4,1.35,38.5,172.6,excelente
nelore,femea,23,409,138.4,5.9,0.55,38.2,161.7,abaixo_peso
nelore,macho,18,370,129.7,7.1,0.81,38.8,146.8,saudavel
nelore,femea,20,413,134.7,7.5,1.1,39.0,156.5,saudavel
nelore,macho,15,365,125.6,7.7,0.75,38.3,140.0,saudavel
nelore,femea,31,554,151.7,5.1,0.79,39.1,177.5,abaixo_peso
nelore,macho,34,622,155.4,7.9,0.89,38.2,187.8,saudavel
nelore,femea,34,709,154.0,9.4,1.49,39.1,187.9,excelente
nelore,macho,20,335,128.1,4.7,0.24,38.7,154.5,risco_nutricional
nelore,femea,23,473,136.4,7.7,1.06,39.2,161.4,saudavel
nelore,macho,34,570,158.9,5.6,0.7,38.4,189.2,abaixo_peso
